tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
29329,I,0.1998,0.0597,0.9810,0.49,-1.59,-0.06,,,,,,
29339,I,0.1569,0.0558,0.9276,-2.01,1.16,-0.61,,,,,,
29349,I,0.1698,0.0216,1.0337,-1.71,-1.10,0.12,,,,,,
29359,I,0.2463,0.0048,0.8845,-2.44,0.24,-0.06,,,,,,
29369,I,0.1177,0.0293,1.1227,0.61,0.73,0.55,,,,,,
29379,I,0.2003,0.0194,0.9487,-0.18,0.00,0.79,,,,,,
29389,I,0.0889,0.0298,1.0874,-0.55,0.85,1.10,,,,,,
29399,I,0.2784,0.0024,0.8684,0.49,-2.20,1.59,,,,,,
29409,I,0.1030,0.0677,1.0637,2.01,1.65,0.85,,,,,,
29419,I,0.1974,0.0608,1.0044,0.79,-1.16,1.04,,,,,,
29510,I,0.2196,0.0079,0.9497,-2.56,-1.65,0.55,,,,,,
29520,I,0.1069,0.1050,1.1951,1.46,0.98,0.37,,,,,,
29530,I,0.2036,0.0447,1.0259,-2.99,-0.55,0.55,,,,,,
29540,I,0.1113,0.0208,1.0034,-0.79,-0.18,0.67,,,,,,
29550,I,0.1442,0.0477,0.9630,-2.01,0.06,0.18,,,,,,
29560,I,0.2535,-0.0033,0.7678,-3.05,-1.04,0.06,,,,,,
29570,I,0.1567,0.0304,1.0449,-0.18,0.00,-0.49,,,,,,
29580,I,0.2073,0.0526,1.1465,-3.66,0.06,-0.85,,,,,,
29590,I,0.1160,0.0483,1.0515,0.24,1.16,-0.30,,,,,,
29600,I,0.0963,0.0209,1.0592,-3.48,-0.37,0.06,,,,,,
29619,I,0.2202,-0.0107,0.9297,-1.52,-0.79,0.00,,,,,,
29629,I,0.2063,0.0427,1.1400,-2.44,0.24,-0.37,,,,,,
29639,I,0.1188,0.0658,1.0787,2.13,1.65,0.24,,,,,,
29649,I,0.0986,0.0249,1.0435,-4.33,0.18,0.37,,,,,,
29659,I,0.2240,0.0073,0.7589,-0.37,-1.16,0.55,,,,,,
29669,I,0.2250,-0.0100,0.9423,-2.93,-0.49,0.00,,,,,,
29679,I,0.1870,0.0586,1.1334,-0.98,0.67,-0.37,,,,,,
29689,I,0.1254,0.0588,1.0867,0.98,1.46,0.18,,,,,,
29699,I,0.1001,0.0056,1.0126,-5.43,0.55,0.06,,,,,,
29709,I,0.2319,-0.0214,0.7500,-1.40,-0.73,0.49,,,,,,
29730,I,0.1715,0.0707,1.1880,-0.37,1.46,-0.30,,,,,,
29740,I,0.1395,0.0465,1.0732,0.00,1.16,0.37,,,,,,
29750,I,0.1188,-0.0095,0.9337,-4.51,0.61,0.30,,,,,,
29760,I,0.2643,0.0159,0.7196,-0.37,-1.16,0.49,,,,,,
29770,I,0.1738,0.0027,1.1401,-0.73,-0.12,0.06,,,,,,
29780,I,0.1498,0.0494,1.1879,-2.32,2.26,-0.37,,,,,,
29790,I,0.1644,0.0366,0.9873,0.61,-0.12,0.49,,,,,,
29801,I,0.1641,-0.0104,0.8038,-3.90,0.73,0.00,,,,,,
29811,I,0.2094,-0.0197,0.8854,-1.28,-0.49,0.00,,,,,,
29821,I,0.1708,0.0570,1.2330,-0.12,0.79,-0.37,,,,,,
29841,I,0.2466,0.0006,0.8739,0.67,-1.34,0.61,,,,,,
29851,I,0.1945,0.0034,0.7958,-2.62,1.04,-0.18,,,,,,
29861,I,0.1721,0.0027,1.0795,-0.79,0.37,-0.30,,,,,,
29871,I,0.1595,0.0740,1.2560,0.37,1.34,0.00,,,,,,
29881,I,0.1385,-0.0150,0.8726,-4.45,0.67,0.30,,,,,,
29891,I,0.3344,-0.0228,0.7648,-0.24,-2.80,0.79,,,,,,
29902,I,0.1101,0.0040,1.1736,-1.22,2.38,-0.37,,,,,,
29912,I,0.0681,0.0244,1.2308,-1.59,1.65,-0.30,,,,,,
29922,I,0.2006,-0.0275,0.7813,-0.98,-1.40,0.24,,,,,,
29932,I,0.2153,-0.0583,0.8694,-1.71,-1.46,0.12,,,,,,
29945,I,0.1057,0.0490,1.1221,0.91,1.40,-0.06,,,,,,
29955,I,0.1404,-0.0276,0.7679,-2.80,-0.67,0.06,,,,,,
29965,I,0.1942,-0.0397,0.8704,0.24,-1.71,-0.18,,,,,,
29975,I,0.1157,0.0504,1.2877,1.16,0.18,-0.55,,,,,,
29985,I,0.0994,0.0184,1.0244,-0.98,0.98,-0.30,,,,,,
29995,I,0.2871,-0.0264,0.7236,1.89,-3.23,0.37,,,,,,
30005,I,0.1222,0.0358,0.9835,1.89,1.16,-0.43,,,,,,
30015,I,0.0719,0.0964,1.2456,1.89,1.16,-0.24,,,,,,
30025,I,0.0858,0.0404,1.0076,-1.04,-0.61,0.12,,,,,,
30035,I,0.2126,0.0015,0.7644,-1.89,-1.40,0.24,,,,,,
30054,I,0.0756,0.0780,1.2168,0.37,2.38,-0.49,,,,,,
30064,I,0.0651,0.0328,0.9938,-2.26,0.12,-0.06,,,,,,
30074,I,0.2474,-0.0249,0.6840,-1.46,-1.89,0.30,,,,,,
30084,I,0.1625,0.0079,1.1721,-0.67,-0.37,-0.43,,,,,,
30094,I,0.0896,0.0665,1.2028,0.30,2.20,-0.37,,,,,,
30104,I,0.2583,-0.0035,0.7272,-0.49,-1.89,0.43,,,,,,
30114,I,0.1810,-0.0037,0.8799,-0.55,0.24,-0.24,,,,,,
30124,I,0.0812,0.0841,1.3197,0.30,1.83,-0.61,,,,,,
30134,I,0.1520,0.0270,0.9049,-2.38,0.30,0.24,,,,,,
30144,I,0.1520,0.0270,0.9049,-2.62,-1.95,0.30,,,,,,
30154,I,0.1715,0.0248,1.3066,-0.30,1.28,-0.91,,,,,,
30164,I,0.1489,0.0376,1.0393,-0.12,2.26,-0.12,,,,,,
30174,I,0.2633,-0.0535,0.5997,-1.40,-0.73,0.43,,,,,,
30184,I,0.1396,-0.0316,1.2292,-1.22,1.10,-0.61,,,,,,
30194,I,0.1396,-0.0316,1.2292,0.85,1.95,-0.30,,,,,,
30204,I,0.2197,-0.0465,0.6741,-1.77,-0.73,0.67,,,,,,
30214,I,0.3433,-0.0549,0.9700,0.79,-1.83,0.00,,,,,,
30224,I,0.1196,0.0691,1.2615,3.17,4.09,-0.79,,,,,,
30234,I,0.1246,-0.0016,0.8749,-1.46,0.91,0.06,,,,,,
30244,I,0.2853,-0.0653,0.6995,-1.77,-1.34,0.37,,,,,,
30263,I,0.1855,0.0237,1.2869,0.49,2.56,-0.55,,,,,,
30273,I,0.1553,0.0359,1.1013,0.49,2.56,-0.55,,,,,,
30283,I,0.3204,-0.0402,0.7200,1.65,1.83,-0.67,,,,,,
30293,I,0.1821,-0.0142,0.9656,2.07,2.38,-0.79,,,,,,
30303,I,0.1156,0.0706,1.2874,0.49,0.06,-0.06,,,,,,
30313,I,0.1628,0.0015,0.9247,0.24,-0.55,0.06,,,,,,
30323,I,0.2804,-0.0066,0.7654,2.87,-0.12,-0.73,,,,,,
30333,I,0.2373,0.0198,1.1815,2.87,-0.12,-0.73,,,,,,
30343,I,0.1025,0.0853,1.1909,3.17,3.54,-0.79,,,,,,
30353,I,0.1876,0.0022,0.7538,-0.79,-0.12,-0.18,,,,,,
30363,I,0.2122,-0.0387,0.8571,-0.06,-0.49,-0.43,,,,,,
30373,I,0.1741,0.0747,1.2974,2.74,0.91,-0.91,,,,,,
30383,I,0.1288,0.0491,1.0469,0.12,2.07,-0.67,,,,,,
30393,I,0.3186,-0.0278,0.7321,1.10,-2.38,0.24,,,,,,
30403,I,0.1376,0.0201,1.0160,2.13,2.01,-0.85,,,,,,
30413,I,0.1079,0.0695,1.2423,1.22,1.65,-0.73,,,,,,
30423,I,0.1305,0.0150,0.9449,-0.06,0.06,-0.24,,,,,,
30433,I,0.2605,-0.0021,0.7629,0.18,-0.91,0.12,,,,,,
30443,I,0.2208,0.0164,1.1405,2.26,-0.18,-0.73,,,,,,
30453,I,0.1039,0.0764,1.1873,-0.55,0.12,-0.12,,,,,,
30473,I,0.2195,-0.0343,0.8325,2.01,1.34,-0.79,,,,,,
30483,I,0.1465,0.0817,1.3240,0.06,1.95,-0.37,,,,,,
30493,I,0.1024,0.0483,1.0186,1.22,-2.80,0.30,,,,,,
30503,I,0.3273,-0.0172,0.6907,2.07,2.26,-0.73,,,,,,
30513,I,0.1201,0.0494,1.1929,2.07,2.26,-0.73,,,,,,
30523,I,0.0443,0.0780,1.2397,0.18,2.62,-0.49,,,,,,
30533,I,0.2482,-0.0182,0.5996,-1.10,-1.59,0.24,,,,,,
30543,I,0.2131,-0.0078,1.0300,1.95,-1.10,0.00,,,,,,
30553,I,0.0853,0.0928,1.2848,1.28,3.17,-0.91,,,,,,
30563,I,0.2388,0.0092,0.7305,0.12,-1.22,0.43,,,,,,
30573,I,0.1912,-0.0020,0.9031,0.91,-0.06,-0.12,,,,,,
30583,I,0.0394,0.0850,1.3712,0.24,3.23,-0.79,,,,,,
30593,I,0.1504,0.0118,0.7574,-0.37,-0.55,0.30,,,,,,
