timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768719904.1888716,11.1293165,77.18337716666667,99.65612000000002,8,-11376,32764,-32768,10723,2608,-3035,
1768719904.286984,11.129292833333333,77.18338733333333,103.20270000000001,8,-20560,-32768,32767,-3706,-4803,-2726,
1768719904.386902,11.129268166666666,77.18339766666666,103.72681600000001,8,-32672,-32768,32767,-2945,-2109,-313,
1768719904.4869723,11.129244,77.18340816666667,104.33242000000001,8,30464,-32768,32736,-3974,-6293,-2999,
1768719904.667649,11.129219333333333,77.18341783333334,105.373244,8,17152,-26112,32767,1823,-4130,-2067,
1768719904.7169168,11.129194666666667,77.183429,105.77327600000001,8,5375,-32728,32548,-10418,6265,-4690,
1768719904.8163989,11.1291695,77.183439,105.421396,8,-17296,32767,-32768,1304,-2190,2669,
1768719904.9165225,11.129144666666667,77.1834485,104.686152,8,32767,-32513,-20736,21,1558,-3907,
1768719905.0166745,11.129118833333333,77.18345833333333,106.725204,8,-27724,-13188,-14444,-5791,10694,690,
1768719905.1171496,11.129093333333334,77.18346866666667,107.556752,8,7423,-29441,-32652,-14277,3740,1359,
1768719905.2173612,11.1290685,77.18347933333334,107.265988,8,2508,32767,-6400,15,-9814,1795,
1768719905.3174868,11.129044,77.183488,106.01774,8,18431,32668,-32513,14206,-9026,-2221,
1768719905.4175427,11.129018833333333,77.183497,105.588076,8,-32256,-32768,32767,1773,16811,-2882,
1768719905.5175676,11.128994,77.18350533333333,104.63059200000001,8,18612,32512,-22524,11856,-4403,1161,
1768719905.6919017,11.1289675,77.18351416666667,109.89212400000001,8,-32576,19455,-29952,-14334,-4659,-2061,
1768719905.6988096,11.12894,77.18352283333333,109.89212400000001,8,-32576,19455,-29952,-14334,-4659,-2061,
1768719905.7909276,11.128912833333333,77.183531,111.457064,8,32592,-27136,32767,11353,-3792,-2587,
1768719905.8916488,11.128886666666666,77.1835395,109.969908,8,18448,-15872,32767,7648,-642,-1409,
1768719906.043172,11.1288595,77.18354783333334,110.99962000000001,8,-2049,32740,17663,10722,-4896,-646,
1768719906.0931096,11.1288285,77.18355666666666,117.03714000000001,8,-22028,-32768,-32768,-11781,-1065,-1686,
1768719906.191307,11.128798166666666,77.18356483333334,119.967004,8,32756,13120,32767,13477,-5516,-826,
1768719906.2926319,11.1287685,77.1835725,120.428152,8,9024,-32556,-32768,-11375,-3114,-2772,
1768719906.3927605,11.128740333333333,77.18357816666666,118.042776,8,-32648,32767,-32768,-4442,-10907,-244,
1768719906.4930184,11.128712833333333,77.18358416666666,115.396268,8,32652,1392,32767,12246,10460,514,
1768719906.693456,11.128684166666666,77.18358916666666,118.23908800000001,8,-32513,-5712,32644,12701,334,-191,
1768719906.7018487,11.128654666666666,77.18359533333333,118.23908800000001,8,-32513,-5712,32644,12701,334,-191,
1768719906.806384,11.128623,77.18360283333334,122.66722,8,-32513,32528,-11300,3,-2903,-1980,
1768719906.9073412,11.1285905,77.18361133333333,126.661984,8,16300,-32768,32512,-898,12081,-1449,
1768719907.0587873,11.128560166666666,77.1836185,125.61745600000002,8,-14596,19200,-32513,7437,-6693,-4163,
1768719907.1091752,11.128530666666666,77.18362316666666,123.56544000000001,8,8484,-32768,32588,-2304,13302,-2635,
1768719907.2074995,11.128501166666666,77.18362766666667,122.26163200000002,8,32632,15380,-32768,3435,-3770,2961,
1768719907.3083591,11.128472333333333,77.18363283333333,120.99301200000001,8,32767,32588,-32532,-5350,-8844,-2005,
1768719907.4086745,11.128446666666667,77.183636,115.253664,8,9988,32532,-21761,-4145,-8062,-3799,
1768719907.5086925,11.128417333333333,77.18363966666666,117.394576,8,2559,32704,-32704,-168,-10992,-3040,
1768719907.712369,11.1283875,77.18364416666667,119.570676,8,-6020,8432,-11520,-477,-7801,2304,
1768719907.7196429,11.128358,77.18364733333334,119.570676,8,-6020,8432,-11520,-477,-7801,2304,
1768719907.780517,11.128326666666666,77.1836515,122.47461200000001,8,30184,5224,-32001,5752,-9140,-1869,
1768719907.9287317,11.128294333333333,77.18365733333333,125.858216,8,-9472,-9488,-16384,-115,1782,-1257,
1768719908.0280302,11.128263166666667,77.18366316666666,125.51930000000002,8,-16820,21280,-32768,-3808,-3203,852,
1768719908.1278307,11.128234666666666,77.18366833333333,121.959756,8,25168,22176,32767,3478,-11045,-1295,
1768719908.1787915,11.128204,77.183671,122.56906400000001,8,104,17708,-27905,-1872,-6983,569,
1768719908.279033,11.128174166666666,77.183672,121.894936,8,-13176,-32768,32767,-2095,-5783,-3014,
1768719908.3817434,11.128143333333334,77.18367716666667,122.16347599999999,8,-768,-32768,32767,4,-2333,-4824,
1768719908.4818943,11.128111833333334,77.1836815,124.14882,8,-24452,24908,-32768,-1611,-4672,2171,
1768719908.580935,11.128080833333334,77.183684,125.33039600000001,8,20680,32767,32767,657,17186,-1342,
1768719908.7560506,11.128049833333334,77.18368533333333,126.29528800000001,8,-2305,32767,-32568,5913,-9359,-3339,
1768719908.8058622,11.128019,77.18368733333334,125.32113600000002,8,-2024,-32632,24204,580,5978,-99,
1768719908.9040077,11.1279885,77.18368966666667,123.780272,8,-32524,29695,-32768,-8315,469,-425,
1768719909.0100758,11.127955,77.18369283333334,128.11580400000003,8,29440,-32532,13372,-2930,16102,531,
1768719909.1054392,11.1279225,77.18369566666667,128.87697599999998,8,32560,-32732,-17920,-8339,5771,-1953,
1768719909.205722,11.127891166666666,77.18369666666666,126.02489600000001,8,9727,-32768,32512,-2441,19220,-1148,
1768719909.3068273,11.12786,77.1836945,124.23216000000001,8,22360,-32760,-32680,-6892,7390,722,
1768719909.405657,11.127828333333333,77.183695,124.93962400000001,8,-18264,-11264,32767,-1237,866,-2074,
1768719909.505899,11.127797166666667,77.183696,123.48395200000002,8,-7440,532,32767,431,12837,-4529,
