tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
30277,I,0.1489,-0.0421,1.1282,-11.83,3.66,-9.82,,,,,,
30287,I,0.1030,0.0148,0.9774,-8.60,2.74,-9.63,,,,,,
30297,I,0.0831,-0.1849,1.0636,-12.13,0.91,-9.94,,,,,,
30307,I,0.2659,0.0999,1.0425,-4.45,1.83,-10.49,,,,,,
30317,I,0.3386,-0.0493,0.9611,-12.20,0.55,-10.98,,,,,,
30327,I,0.3419,0.0593,1.0742,-4.15,3.78,-11.28,,,,,,
30337,I,0.3068,-0.0374,0.9139,-7.62,3.78,-11.52,,,,,,
30347,I,0.0941,-0.0172,0.8466,-5.18,4.57,-10.91,,,,,,
30357,I,-0.1040,0.0118,0.5182,-7.20,4.63,-11.04,,,,,,
30367,I,-0.0459,0.0532,0.5675,-8.48,1.71,-10.79,,,,,,
30367,G,-0.0459,0.0532,0.5675,-8.48,1.71,-10.79,10.0067205429077,76.3671188354492,0.7,22.98,12,0.00
30497,I,0.2058,-0.0054,0.9817,-3.29,3.29,-11.52,,,,,,
30507,I,0.1033,-0.0491,0.9025,-5.55,5.06,-11.34,,,,,,
30517,I,0.2166,0.0637,0.9117,-3.84,2.93,-11.71,,,,,,
30527,I,0.1149,0.0448,1.0225,-2.26,2.99,-11.83,,,,,,
30537,I,0.2603,-0.0327,1.0667,-6.34,-0.67,-11.89,,,,,,
30547,I,0.1790,-0.0837,0.8857,-2.20,0.79,-11.16,,,,,,
30557,I,0.3073,-0.1226,0.6764,-5.24,0.85,-11.28,,,,,,
30567,I,0.3197,0.0437,0.6189,-0.37,3.48,-11.40,,,,,,
30577,I,0.3793,-0.0442,0.9304,-4.88,3.96,-12.26,,,,,,
30630,I,0.0677,0.1594,1.0465,0.43,5.67,-11.71,,,,,,
30630,G,0.0677,0.1594,1.0465,0.43,5.67,-11.71,10.0080327987671,76.3665618896484,0.7,61.17,12,0.00
30641,I,0.1791,-0.1414,0.9928,-5.30,1.95,-11.77,,,,,,
30651,I,0.1035,0.0200,0.8914,0.98,1.59,-11.46,,,,,,
30661,I,0.1719,-0.0990,0.7549,-4.39,1.34,-10.79,,,,,,
30671,I,0.2498,-0.0415,0.6150,-2.01,1.34,-10.43,,,,,,
30681,I,0.4310,0.0266,1.0131,0.06,2.20,-11.04,,,,,,
30691,I,0.4199,-0.0208,1.0831,0.12,4.76,-12.01,,,,,,
30701,I,0.2244,-0.0383,0.9912,0.43,7.07,-11.65,,,,,,
30711,I,0.2045,0.0267,0.9371,0.24,8.78,-11.71,,,,,,
30721,I,0.2716,0.0142,0.9641,-2.38,7.74,-11.71,,,,,,
30731,I,0.1678,0.0209,1.0084,0.91,8.23,-11.65,,,,,,
30731,G,0.1678,0.0209,1.0084,0.91,8.23,-11.65,10.0080471038818,76.3665618896484,0.7,60.73,12,0.00
30745,I,0.1028,0.1198,1.0345,-4.63,2.68,-11.52,,,,,,
30755,I,0.1616,-0.1794,0.7859,1.83,4.02,-11.34,,,,,,
30765,I,0.2966,0.0247,0.7023,-2.93,5.18,-11.89,,,,,,
30775,I,0.1833,0.0115,0.7054,-2.93,5.18,-11.89,,,,,,
30785,I,0.2168,0.0537,0.8671,1.77,5.30,-12.13,,,,,,
