gps_time,lat,lon,alt,speed,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,vbat
1773118883.55800,10.01056,76.36537,1.8,31.02,-0.0061,0.0785,1.0358,-0.12,0.12,3.66,0.41
1773118883.65200,10.01055,76.36536,1.8,31.55,0.1814,0.0378,1.0942,0.18,2.01,2.13,0.32
1773118884.75200,10.01055,76.36536,1.8,31.06,0.2389,0.0646,1.0052,-0.79,-0.61,2.26,0.32
1773118884.85200,10.01055,76.36535,1.8,30.77,0.0458,0.0876,1.1179,0.49,4.70,1.52,0.40
1773118884.95100,10.01054,76.36534,1.8,31.10,0.1658,0.0039,0.9797,-4.02,0.18,2.01,0.35
1773118884.04400,10.01054,76.36534,1.8,31.10,0.1934,0.0779,1.0404,-1.65,3.41,0.12,0.22
1773118884.15800,10.01054,76.36533,1.8,30.97,0.2101,0.0710,0.9426,1.16,1.22,-0.06,0.39
1773118884.25100,10.01054,76.36533,1.8,30.08,0.1235,0.0311,0.9883,-1.40,-0.49,-1.16,0.37
1773118884.35100,10.01053,76.36532,1.9,30.56,0.1213,-0.0564,0.8682,-5.98,-4.88,1.04,0.41
1773118884.45200,10.01053,76.36531,1.8,30.41,0.1006,-0.0155,1.0925,-4.15,3.48,0.12,0.33
1773118884.55300,10.01053,76.3653,1.8,30.74,0.0044,0.0275,0.9069,-2.74,3.11,0.73,0.38
1773118884.65900,10.01052,76.3653,1.9,29.99,0.3226,0.1064,0.9379,-1.71,2.13,0.49,0.36
1773118885.75200,10.01052,76.36529,1.8,29.92,0.2737,0.1355,0.8933,0.79,-1.40,0.79,0.46
1773118885.85200,10.01052,76.36528,1.9,29.85,0.0658,0.0414,1.0614,-3.72,-3.05,0.30,0.37
1773118885.95200,10.01052,76.36527,1.9,30.23,0.3593,0.0315,0.8145,-1.89,-4.70,-0.37,0.34
1773118885.04500,10.01052,76.36527,1.9,30.23,0.0491,0.0588,0.9526,-5.37,-0.67,-2.07,0.47
1773118885.15200,10.01051,76.36526,1.9,29.41,-0.0134,0.0389,1.0754,1.59,1.46,-3.11,0.36
1773118885.25100,10.01051,76.36525,1.9,28.99,0.0774,0.0728,1.0490,3.84,0.43,-3.78,0.37
1773118885.35200,10.0105,76.36524,1.9,29.15,0.1595,0.0341,0.9785,-1.46,-0.18,-2.93,0.38
1773118885.45200,10.0105,76.36524,1.9,29.01,0.1129,0.0145,0.9379,1.40,1.46,-1.65,0.30
1773118885.55300,10.0105,76.36523,1.9,28.73,0.2318,0.0524,0.8174,4.02,-0.73,-1.71,0.33
1773118885.65100,10.0105,76.36523,2.0,28.61,0.1683,0.0099,0.9115,0.30,-0.37,-1.65,0.35
1773118886.75100,10.01049,76.36522,2.0,28.58,0.3184,0.0529,1.0831,4.94,6.28,-2.80,0.40
1773118886.85200,10.01049,76.36521,2.0,28.21,0.3829,0.0487,1.0908,7.07,4.15,-1.28,0.46
1773118886.95200,10.01049,76.3652,2.0,28.03,0.4292,0.0259,0.9703,3.23,-3.72,-0.43,0.36
1773118886.04500,10.01049,76.3652,2.0,28.03,0.1656,0.1110,1.0549,11.28,-3.11,1.04,0.37
1773118886.15200,10.01049,76.3652,2.0,27.99,0.1514,-0.0245,0.9988,-0.67,-1.28,2.56,0.40
1773118886.25100,10.01048,76.36519,2.0,27.52,0.1602,0.0530,0.8988,5.12,5.18,2.80,0.34
1773118886.35200,10.01048,76.36518,2.0,28.07,0.1326,0.0125,1.1976,-1.10,1.83,2.56,0.36
1773118886.45100,10.01048,76.36517,2.0,26.81,0.3743,0.0592,1.1444,-2.38,0.61,3.23,0.30
1773118886.55200,10.01047,76.36517,2.1,26.82,0.3557,-0.0939,0.9098,-10.98,-0.06,2.74,0.40
1773118886.65100,10.01047,76.36516,2.1,26.16,0.3656,0.0808,1.1201,0.30,-2.13,3.17,0.33
1773118887.75100,10.01047,76.36515,2.0,25.62,0.2401,-0.0513,1.2000,-8.41,-1.77,2.20,0.36
1773118887.85100,10.01047,76.36515,2.0,25.22,0.3722,-0.0033,1.0579,-4.76,0.30,0.55,0.34
1773118887.95100,10.01046,76.36514,2.1,25.16,0.4373,0.1361,1.0294,2.99,-1.65,-1.34,0.42
1773118887.04500,10.01046,76.36514,2.1,25.16,0.1681,0.0377,1.1310,-0.43,-0.43,-2.26,0.38
1773118887.15200,10.01046,76.36514,2.1,24.39,0.1581,0.0771,1.1552,2.80,0.06,-2.50,0.33
1773118887.25200,10.01046,76.36513,2.1,23.87,0.3224,0.0024,0.7670,-4.33,-3.78,-2.68,0.41
1773118887.35200,10.01046,76.36512,2.1,23.86,0.1899,0.0901,1.1519,0.49,-0.85,-1.10,0.40
1773118887.45200,10.01045,76.36511,2.1,23.49,0.2511,0.0065,0.9161,-4.27,0.06,-1.46,0.34
1773118887.55200,10.01045,76.3651,2.1,23.05,0.4030,0.1409,1.0973,3.48,-0.30,-1.83,0.42
1773118887.65100,10.01045,76.3651,2.1,22.81,0.1006,0.1500,1.0037,5.00,-1.04,-2.56,0.41
1773118888.75100,10.01045,76.3651,2.2,22.72,0.1937,0.0186,0.9353,2.56,-3.78,-3.17,0.39
1773118888.85200,10.01045,76.36509,2.1,22.53,0.2668,-0.0483,1.0507,-2.26,-1.77,-4.39,0.34
1773118888.95900,10.01044,76.36509,2.2,22.03,0.4948,-0.0187,0.8868,1.77,-3.78,-3.23,0.34
1773118888.04500,10.01044,76.36509,2.2,22.03,0.2211,-0.0095,0.8896,0.61,-0.73,-3.05,0.37
1773118888.15200,10.01044,76.36508,2.2,21.34,0.1820,-0.0035,1.0465,-0.12,5.30,-1.04,0.33
1773118888.25200,10.01044,76.36507,2.2,20.54,0.1796,0.1599,1.0232,2.38,0.12,0.67,0.37
1773118888.35100,10.01044,76.36507,2.2,21.12,0.1896,0.0221,1.0388,-0.43,-2.01,0.79,0.39
1773118888.45100,10.01044,76.36506,2.2,20.59,0.2139,-0.0707,0.8544,-3.72,-3.72,1.28,0.38
1773118888.55200,10.01043,76.36506,2.2,20.63,0.0115,-0.0460,0.9127,-3.78,-0.85,0.91,0.39
1773118888.65200,10.01043,76.36505,2.2,20.00,0.0952,0.0521,0.9727,-4.57,1.71,0.00,0.35
1773118889.75200,10.01043,76.36504,2.3,20.22,0.1484,-0.0297,0.9075,-3.60,2.99,-1.95,0.37
1773118889.85100,10.01043,76.36504,2.3,19.96,0.0354,0.0435,0.8092,-5.49,1.59,-2.50,0.43
1773118889.95100,10.01043,76.36504,2.3,19.41,0.0376,-0.0013,1.0878,-7.56,5.24,-2.68,0.39
1773118889.04500,10.01043,76.36504,2.3,19.41,0.0789,0.0562,1.0441,-1.28,4.63,-3.11,0.34
1773118889.15200,10.01043,76.36504,2.3,19.57,0.0835,0.1256,0.8805,-0.37,3.05,-5.30,0.30
1773118889.25100,10.01042,76.36502,2.3,18.92,0.1903,0.0258,0.8691,1.28,2.74,-4.45,0.31
1773118889.35100,10.01042,76.36502,2.2,18.46,0.3152,0.1033,1.1858,7.68,3.60,-7.62,0.33
1773118889.45100,10.01042,76.36501,2.1,18.28,0.0411,0.0568,0.9313,4.02,2.62,-5.49,0.46
1773118889.55200,10.01042,76.36501,2.1,18.28,0.2444,0.1310,0.8503,9.70,3.23,-6.46,0.43
1773118889.64500,10.01042,76.36501,2.1,18.28,0.1458,0.0239,1.0052,10.24,-1.04,-3.72,0.34
1773118890.75200,10.01042,76.36501,2.1,18.41,0.1581,0.0369,0.7860,8.11,5.85,-0.98,0.35
1773118890.85200,10.01041,76.365,2.0,17.86,0.2013,-0.0054,1.0890,8.48,2.44,1.95,0.35
1773118890.95200,10.01041,76.36499,2.0,17.86,0.1030,0.1306,1.0216,12.68,5.85,4.33,0.40
1773118890.04500,10.01041,76.36499,2.0,17.86,0.5282,0.0096,0.8796,5.49,-7.26,6.22,0.28
1773118890.15200,10.01041,76.36499,2.0,17.64,0.1869,0.0609,0.9191,6.59,-2.07,7.38,0.32
1773118890.25100,10.01041,76.36498,2.0,18.70,0.2408,0.0524,1.0500,1.95,-1.16,12.38,0.35
1773118890.35100,10.01041,76.36497,2.1,18.32,0.1451,0.1082,0.9912,3.29,-2.07,13.54,0.37
1773118890.45100,10.0104,76.36497,2.0,18.81,0.1956,-0.0812,0.9478,-7.32,-3.23,11.46,0.35
1773118890.55200,10.0104,76.36497,2.0,19.31,0.0919,0.0044,0.8152,-4.02,-1.52,10.43,0.37
1773118890.65200,10.0104,76.36496,2.0,19.75,0.0646,0.0006,0.9165,-9.45,1.04,9.76,0.39
