gps_time,lat,lon,alt,speed,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,vbat
1773146924.10700,10.00853,76.36422,-6.1,0.30,0.0315,-0.7108,0.6786,2.01,-4.45,-3.72,0.36
1773146924.20600,10.00853,76.36422,-6.2,0.10,0.0886,-0.7255,0.7103,1.65,-3.72,-0.37,0.28
1773146924.30500,10.00853,76.36422,-6.1,0.18,0.0114,-0.6934,0.6926,1.95,2.44,-7.62,0.40
1773146924.41200,10.00853,76.36422,-6.1,0.15,0.0601,-0.7346,0.7080,0.61,-1.28,2.44,0.43
1773146924.50000,10.00853,76.36422,-6.1,0.15,0.0186,-0.7219,0.7152,0.12,-0.73,-2.80,0.37
1773146924.60800,10.00853,76.36422,-6.1,0.08,0.0377,-0.7092,0.7103,0.18,0.43,0.30,0.44
1773146924.70600,10.00853,76.36422,-6.0,0.16,0.0361,-0.7223,0.7258,0.18,0.00,-1.04,0.34
1773146924.81300,10.00853,76.36422,-5.9,0.16,0.0624,-0.7118,0.7261,-0.24,-2.32,-0.79,0.34
1773146924.90000,10.00853,76.36422,-5.9,0.16,0.0447,-0.6974,0.7224,-0.73,0.67,-1.28,0.30
1773146924.00600,10.00853,76.36422,-5.8,0.06,0.0494,-0.7101,0.7148,-1.10,0.49,-1.59,0.29
1773146925.11300,10.00853,76.36422,-5.7,0.02,0.0485,-0.7108,0.7084,-0.61,0.43,-1.59,0.33
1773146925.20000,10.00853,76.36422,-5.7,0.02,0.0542,-0.7058,0.7057,-0.67,-0.49,-0.79,0.34
1773146925.31200,10.00853,76.36422,-5.7,0.11,0.0570,-0.7091,0.7151,-1.40,0.98,-0.37,0.30
1773146925.40000,10.00853,76.36422,-5.7,0.11,0.0498,-0.6973,0.7017,-0.73,1.28,-2.07,0.48
1773146925.51300,10.00853,76.36422,-5.7,0.11,0.0365,-0.7400,0.6981,0.61,-0.12,-1.04,0.33
1773146925.60100,10.00853,76.36422,-5.7,0.11,0.0579,-0.7150,0.7097,1.28,-1.40,0.18,0.26
1773146925.71200,10.00853,76.36422,-5.7,0.12,0.0616,-0.7100,0.7151,0.43,1.04,-0.06,0.42
1773146925.80000,10.00853,76.36422,-5.7,0.12,0.0493,-0.7140,0.7106,0.18,0.91,-0.91,0.46
