gps_unix_time,lat,lon,sats,speed_kmh,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1772917029.997,10.00234,76.37965,5,0.14,157,545,8231,0,6,-4
1772917029.084,10.00234,76.37965,5,0.14,154,529,8226,-1,7,-5
1772917029.182,10.00233,76.37965,5,0.09,174,547,8243,0,7,-4
1772917029.295,10.00233,76.37965,5,0.04,158,542,8243,-2,7,-2
1772917029.384,10.00233,76.37965,5,0.04,172,552,8239,0,7,-4
1772917029.482,10.00233,76.37965,5,0.05,174,540,8236,-1,9,-3
1772917029.597,10.00233,76.37965,5,0.12,164,554,8224,0,7,-3
1772917029.684,10.00233,76.37965,5,0.12,157,537,8245,-1,7,-3
1772917029.782,10.00233,76.37965,5,0.31,160,551,8230,0,6,-5
1772917029.882,10.00234,76.37965,5,0.05,185,541,8229,1,6,-3
1772917029.996,10.00234,76.37965,5,0.24,173,541,8230,-1,7,-5
1772917030.084,10.00234,76.37965,5,0.24,170,546,8247,-1,7,-4
1772917030.182,10.00234,76.37965,5,0.20,173,542,8236,0,7,-3
1772917030.295,10.00234,76.37965,5,0.19,171,547,8236,-1,9,-3
1772917030.383,10.00234,76.37965,5,0.19,174,552,8228,0,8,-1
1772917030.482,10.00234,76.37965,5,0.38,169,545,8227,-1,5,-2
1772917030.595,10.00234,76.37965,5,0.22,181,539,8233,0,6,-5
1772917030.684,10.00234,76.37965,5,0.22,174,543,8238,-2,8,-4
1772917030.782,10.00234,76.37965,5,0.22,165,543,8231,-2,8,-4
1772917030.892,10.00234,76.37965,5,0.31,181,550,8224,0,5,-2
1772917030.984,10.00234,76.37965,5,0.31,173,548,8234,0,6,-2
1772917031.107,10.00234,76.37965,5,0.44,173,550,8234,1,5,-2
1772917031.179,10.00234,76.37965,5,0.44,173,553,8234,-1,5,-4
1772917031.296,10.00234,76.37965,5,0.41,158,541,8225,0,7,-4
1772917031.384,10.00234,76.37965,5,0.41,166,548,8232,0,8,-3
1772917031.482,10.00234,76.37965,5,0.34,153,544,8230,-1,8,-3
1772917031.582,10.00234,76.37965,5,0.17,179,552,8226,2,8,-4
1772917031.692,10.00234,76.37965,5,0.33,165,547,8224,-1,7,-2
1772917031.783,10.00234,76.37965,5,0.33,165,543,8233,-1,7,-1
1772917031.895,10.00234,76.37966,5,0.31,186,534,8240,0,7,-3
1772917031.985,10.00234,76.37966,5,0.31,166,550,8225,-1,7,-4
1772917032.083,10.00234,76.37966,5,0.07,174,547,8228,-1,5,-2
1772917032.197,10.00234,76.37967,5,0.28,160,545,8230,-1,8,-3
1772917032.292,10.00234,76.37967,5,0.28,169,551,8232,-1,7,-4
1772917032.380,10.00234,76.37967,5,0.28,168,538,8226,0,8,-3
1772917032.482,10.00234,76.37968,5,0.33,176,552,8232,0,6,-3
1772917032.583,10.00234,76.37968,5,0.51,168,548,8239,1,8,-2
1772917032.695,10.00234,76.37968,5,0.44,173,540,8233,-1,8,-5
1772917032.785,10.00234,76.37968,5,0.44,176,544,8247,-1,6,-2
1772917032.883,10.00234,76.37968,5,0.48,167,555,8232,0,6,-3
1772917032.992,10.00234,76.37968,5,0.49,165,540,8234,-2,7,-3
1772917033.085,10.00234,76.37968,5,0.49,225,1437,8098,5,45,-8
1772917033.195,10.00234,76.37969,5,0.75,318,557,8352,-7,5,-1
1772917033.285,10.00234,76.37969,5,0.75,239,524,8300,14,-53,1
1772917033.383,10.00234,76.37969,5,0.46,249,1581,8190,19,90,-147
1772917033.495,10.00234,76.37969,5,0.71,564,981,9132,573,135,219
1772917033.584,10.00234,76.37969,5,0.71,-23,2215,9667,2267,672,-651
1772917033.695,10.00234,76.3797,5,0.49,-14,5469,6546,2457,-505,-154
1772917033.784,10.00234,76.3797,5,0.49,-570,6180,3707,1361,-136,312
1772917033.899,10.00234,76.3797,5,0.54,-80,4938,4585,-27,-227,-87
1772917033.981,10.00234,76.3797,5,0.54,17,5927,4846,-1593,-127,370
1772917034.095,10.00234,76.3797,5,0.58,1138,4198,7851,-5362,741,1980
1772917034.184,10.00234,76.3797,5,0.58,416,-464,8172,-2979,189,1043
1772917034.283,10.00234,76.3797,5,1.15,667,-2098,8842,-1601,177,562
1772917034.395,10.00234,76.3797,5,0.61,600,-2369,8558,-400,164,136
1772917034.485,10.00234,76.3797,5,0.61,237,-3126,7585,-995,-17,-4
1772917034.583,10.00234,76.3797,5,0.24,-796,-4014,5677,-815,1,211
1772917034.697,10.00234,76.3797,5,0.17,-1650,-3833,6018,-297,1285,667
1772917034.785,10.00234,76.3797,5,0.17,-3138,-1941,6497,1276,2590,638
1772917034.883,10.00234,76.3797,5,0.16,-4301,-870,5814,1673,1813,573
1772917034.982,10.00234,76.3797,5,0.22,-5875,-1341,4397,1204,982,82
1772917035.092,10.00234,76.37971,5,0.28,-5620,-670,5637,296,826,-3
1772917035.185,10.00234,76.37971,5,0.28,-6602,-750,5552,198,-411,-38
1772917035.300,10.00234,76.37971,5,0.29,-5239,-328,6869,870,-2329,-94
1772917035.398,10.00234,76.37971,5,0.29,-5149,569,8042,1866,-6412,-1295
1772917035.494,10.00233,76.3797,5,0.43,851,1757,4399,-1142,-3898,849
1772917035.582,10.00233,76.3797,5,0.43,4650,1812,7069,520,-2159,-1302
1772917035.695,10.00233,76.37968,5,0.12,5161,1312,4349,-88,-1058,46
1772917035.786,10.00233,76.37968,5,0.12,6190,2146,4878,376,-1228,-532
1772917035.885,10.00232,76.37968,5,0.45,5543,2526,3173,-3,-289,-168
1772917035.995,10.00232,76.37967,5,0.62,5841,2477,3970,-262,1001,373
1772917036.086,10.00232,76.37967,5,0.62,5614,2779,6121,222,1993,490
1772917036.188,10.00231,76.37965,5,0.47,7105,2676,9864,-158,1277,405
1772917036.297,10.00231,76.37965,5,0.47,-4369,285,-6358,-970,2518,1270
1772917036.393,10.00231,76.37965,5,0.47,5669,-5677,15023,4006,-1347,-3581
1772917036.486,10.00231,76.37965,5,0.47,-1008,2640,243,1784,0,-1601
1772917036.595,10.00231,76.37964,5,0.39,3126,-4843,9936,2050,191,117
1772917036.702,10.0023,76.37963,5,0.84,3549,-517,9728,297,-111,143
1772917036.798,10.0023,76.37962,5,0.29,3180,2263,10586,-2618,655,1502
1772917036.892,10.0023,76.37962,5,0.29,2468,5177,11333,-4039,-110,1832
1772917036.982,10.0023,76.37962,5,0.29,1179,-846,9492,-570,-1679,-98
1772917037.085,10.0023,76.37962,5,0.50,1469,-840,5781,536,-324,-300
1772917037.185,10.0023,76.37962,5,0.28,1845,-372,7250,1018,88,-478
1772917037.295,10.00229,76.37961,5,0.26,-4010,908,1343,1818,600,-1870
1772917037.387,10.00229,76.37961,5,0.26,2692,-877,9690,-764,177,1105
1772917037.485,10.00229,76.3796,5,0.43,-914,2506,8739,-4821,1101,1114
1772917037.597,10.00229,76.37959,5,0.14,1351,5309,11373,-7460,1669,2790
1772917037.688,10.00229,76.37959,5,0.14,-2431,-2130,4412,5793,-749,-2420
1772917037.786,10.00228,76.37959,5,0.10,523,1701,8856,257,20,34
1772917037.886,10.00228,76.37959,5,0.19,222,1128,8058,-666,8,524
1772917037.996,10.00228,76.37957,5,0.55,161,865,7894,-485,134,235
1772917038.089,10.00228,76.37957,5,0.55,180,1179,8492,-101,74,4
1772917038.186,10.00228,76.37957,5,0.43,42,915,8192,-5,-19,-40
1772917038.299,10.00227,76.37956,5,0.46,-39,756,7890,-229,-13,41
1772917038.393,10.00227,76.37956,5,0.46,-12,477,8038,-191,31,-31
1772917038.485,10.00227,76.37956,5,0.46,-111,498,8211,-143,186,18
1772917038.599,10.00227,76.37955,5,0.33,-2125,677,6642,294,1625,-225
1772917038.698,10.00226,76.37955,5,0.11,-3983,868,6511,742,1783,-229
1772917038.785,10.00226,76.37955,5,0.11,-4293,950,6803,39,1188,-44
1772917038.886,10.00226,76.37954,5,0.28,-5030,1299,6170,-56,484,55
