timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768734509.2489371,11.1279535,77.18588933333334,1.0315640000000001,9,-2308,-3444,15996,262,-247,56,
1768734510.5594866,11.127978,77.185899,0.12408400000000001,12,-2504,-3444,15932,242,-253,31,
1768734511.9031532,11.128002333333333,77.18590666666667,2.840968,12,-2504,-3444,15932,242,-253,31,
1768734513.2302825,11.127996166666666,77.18591083333334,2.840968,12,-2500,-3476,15952,303,-271,93,
1768734514.573817,11.127997333333333,77.18591733333334,0.7296880000000001,12,-2676,-3492,15772,351,-511,68,
1768734515.9009771,11.127999333333333,77.185923,0.7296880000000001,12,-2676,-3492,15772,351,-511,68,
1768734517.2280612,11.128003166666666,77.18592783333334,0.440776,12,-2664,-3572,15908,233,-232,39,
1768734518.5552456,11.128002333333333,77.185931,0.440776,12,-2664,-3572,15908,233,-232,39,
1768734519.8657212,11.128000666666667,77.18593183333333,0.109268,12,-2568,-3164,14080,2602,-1037,765,
1768734521.1603289,11.128000166666666,77.18593466666667,0.109268,12,-2568,-3164,14080,2602,-1037,765,
1768734522.4706411,11.127999,77.18593383333334,0.5852320000000001,12,-1940,1368,17164,-126,-408,4,
1768734523.7812529,11.1279975,77.185934,0.050004,12,-3044,320,32208,-2281,905,690,
1768734525.1410365,11.1279975,77.185935,0.050004,12,-3044,320,32208,-2281,905,690,
1768734526.3029215,11.127992333333333,77.1859355,0.10186,12,-2524,-2344,652,798,-1090,-190,
1768734527.5134337,11.127989333333334,77.18593616666666,0.072228,12,2352,3688,12120,8,-169,384,
1768734528.4924245,11.127987,77.18593733333333,0.072228,12,2352,3688,12120,8,-169,384,
1768734529.636891,11.127988666666667,77.1859395,0.911184,12,-6248,-1900,10908,348,368,16,
1768734530.5327234,11.1279885,77.18594066666667,0.405588,12,-1100,5004,27540,-265,-745,13,
1768734531.6440132,11.127987833333334,77.1859415,0.653756,12,-548,1856,13656,412,-269,122,
1768734532.672883,11.127988166666666,77.18594366666666,0.45929600000000004,12,532,15480,24172,-4285,2017,582,
1768734533.7842474,11.1279885,77.18594516666667,0.45929600000000004,12,532,15480,24172,-4285,2017,582,
1768734534.7130115,11.127988166666666,77.18594566666667,0.06296800000000001,12,20608,2100,16348,1147,-4999,-3817,
1768734535.7585917,11.127987666666666,77.1859455,0.383364,12,-26992,-2160,32767,1699,2339,-3889,
1768734536.703736,11.127987666666666,77.185946,0.644496,12,-26992,-2160,32767,1699,2339,-3889,
