tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat,gps_epoch,imu_sensor_us
0,M,,,,,,,MARKER,LOG_OPEN,1,figure8_60pts.csv,,4.10,,
0,M,,,,,,,MARKER,IMU_PROFILE,2,"{""id"":""synthetic_figure8"",""calibration_version"":1,""name"":""Synthetic Figure 8"",""label"":""synthetic"",""quality_score"":1,""rotation_matrix"":[[1,0,0],[0,1,0],[0,0,1]],""gravity_vector"":[0,0,1],""accel_bias"":[0,0,0],""gyro_bias"":[0,0,0],""vibration"":{""delta_acc_rms"":[0,0,0],""static_acc_rms"":[0,0,1],""engine_acc_rms"":[0,0,1]},""mount_tilt"":{""pitch_deg"":0,""roll_deg"":0},""created_at"":0,""captures"":{}}",,4.10,,
0,G,,,,,,,12.9716000,77.5946000,,46.0,9,,1710000000000,
0,I,0.0300,0.0500,1.0200,0.00,8.00,-0.02,,,,,,,,1000000
10,I,0.0314,0.0519,1.0200,0.05,8.00,-0.04,,,,,,,,1010000
20,I,0.0327,0.0538,1.0200,0.09,8.00,-0.08,,,,,,,,1020000
30,I,0.0340,0.0557,1.0199,0.14,8.00,-0.12,,,,,,,,1030000
40,I,0.0352,0.0575,1.0199,0.18,8.00,-0.16,,,,,,,,1040000
50,I,0.0364,0.0593,1.0198,0.23,8.00,-0.20,,,,,,,,1050000
60,I,0.0374,0.0611,1.0198,0.28,7.99,-0.24,,,,,,,,1060000
70,I,0.0385,0.0628,1.0197,0.32,7.99,-0.29,,,,,,,,1070000
80,I,0.0395,0.0645,1.0196,0.37,7.99,-0.33,,,,,,,,1080000
90,I,0.0404,0.0661,1.0195,0.41,7.99,-0.37,,,,,,,,1090000
100,I,0.0412,0.0677,1.0194,0.46,7.98,-0.41,,,,,,,,1100000
110,I,0.0420,0.0693,1.0192,0.51,7.98,-0.45,,,,,,,,1110000
120,G,,,,,,,12.9716338,77.5946617,,46.2,9,,1710000000120,
120,I,0.0428,0.0709,1.0191,0.55,7.98,-0.50,,,,,,,,1120000
130,I,0.0434,0.0724,1.0189,0.60,7.97,-0.54,,,,,,,,1130000
140,I,0.0441,0.0738,1.0188,0.64,7.97,-0.58,,,,,,,,1140000
150,I,0.0446,0.0753,1.0186,0.69,7.97,-0.63,,,,,,,,1150000
160,I,0.0452,0.0767,1.0184,0.73,7.96,-0.67,,,,,,,,1160000
170,I,0.0456,0.0780,1.0182,0.78,7.96,-0.72,,,,,,,,1170000
180,I,0.0461,0.0794,1.0180,0.82,7.95,-0.76,,,,,,,,1180000
190,I,0.0464,0.0807,1.0177,0.87,7.94,-0.81,,,,,,,,1190000
200,I,0.0467,0.0819,1.0175,0.91,7.94,-0.86,,,,,,,,1200000
210,I,0.0470,0.0832,1.0173,0.96,7.93,-0.90,,,,,,,,1210000
220,I,0.0473,0.0843,1.0170,1.00,7.93,-0.95,,,,,,,,1220000
230,I,0.0474,0.0855,1.0167,1.05,7.92,-1.00,,,,,,,,1230000
240,G,,,,,,,12.9716661,77.5947226,,46.1,9,,1710000000240,
240,I,0.0476,0.0866,1.0164,1.09,7.91,-1.05,,,,,,,,1240000
250,I,0.0477,0.0877,1.0161,1.14,7.90,-1.10,,,,,,,,1250000
260,I,0.0478,0.0888,1.0158,1.18,7.90,-1.15,,,,,,,,1260000
270,I,0.0478,0.0898,1.0155,1.23,7.89,-1.21,,,,,,,,1270000
280,I,0.0478,0.0908,1.0152,1.27,7.88,-1.26,,,,,,,,1280000
290,I,0.0478,0.0918,1.0148,1.31,7.87,-1.32,,,,,,,,1290000
300,I,0.0477,0.0928,1.0145,1.36,7.86,-1.37,,,,,,,,1300000
310,I,0.0477,0.0937,1.0141,1.40,7.85,-1.43,,,,,,,,1310000
320,I,0.0475,0.0946,1.0137,1.44,7.84,-1.49,,,,,,,,1320000
330,I,0.0474,0.0954,1.0133,1.49,7.83,-1.55,,,,,,,,1330000
340,I,0.0473,0.0963,1.0129,1.53,7.82,-1.61,,,,,,,,1340000
350,I,0.0471,0.0971,1.0125,1.57,7.81,-1.67,,,,,,,,1350000
360,G,,,,,,,12.9716954,77.5947822,,45.7,9,,1710000000360,
360,I,0.0469,0.0978,1.0121,1.61,7.80,-1.74,,,,,,,,1360000
370,I,0.0467,0.0986,1.0117,1.66,7.79,-1.80,,,,,,,,1370000
380,I,0.0465,0.0993,1.0112,1.70,7.78,-1.87,,,,,,,,1380000
390,I,0.0463,0.1000,1.0108,1.74,7.77,-1.94,,,,,,,,1390000
400,I,0.0461,0.1007,1.0103,1.78,7.75,-2.01,,,,,,,,1400000
410,I,0.0458,0.1013,1.0099,1.82,7.74,-2.08,,,,,,,,1410000
420,I,0.0456,0.1020,1.0094,1.86,7.73,-2.16,,,,,,,,1420000
