tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat,gps_epoch,imu_sensor_us
16930,M,,,,,,,MARKER,LOG_OPEN,1,sess_002.csv,,3.98,,
16935,M,,,,,,,MARKER,IMU_PROFILE,2,"{""id"": ""tank"", ""calibration_version"": 1, ""vibration"": {""delta_acc_rms"": [0.00645, 0.00568, 0.0], ""static_acc_rms"": [0.01015, 0.19351, 0.95753], ""engine_acc_rms"": [0.0166, 0.19919, 0.95719]}, ""accel_bias"": [0.0, 0.0, 0.0], ""gravity_vector"": [0.0052, 0.19339, 0.95752], ""mount_tilt"": {""pitch_deg"": 3.05, ""roll_deg"": 11.2}, ""name"": ""TANK-463"", ""label"": ""tank"", ""quality_score"": 0.776, ""rotation_matrix"": [[-0.026257, 0.979897, -0.197767], [-0.999641, -0.024684, 0.010414], [0.005323, 0.197969, 0.980194]], ""created_at"": 92, ""captures"": {""lean_left"": {""acc_mean"": [-0.32633, 0.18711, 0.89987], ""count"": 150, ""gyro_mean"": [1.35894, 9.7439, 3.49065], ""gyro_rms"": [3.33574, 10.84788, 3.66036], ""acc_rms"": [0.32638, 0.18756, 0.8999]}, ""static"": {""acc_mean"": [0.0052, 0.19339, 0.95752], ""count"": 151, ""gyro_mean"": [2.46406, 11.87692, 3.15741], ""gyro_rms"": [3.16497, 14.22162, 4.99662], ""acc_rms"": [0.01015, 0.19351, 0.95753]}, ""lean_right"": {""acc_mean"": [0.30821, 0.20558, 0.90714], ""count"": 151, ""gyro_mean"": [1.92699, 7.14505, 3.72597], ""gyro_rms"": [2.91057, 9.63806, 3.94571], ""acc_rms"": [0.30827, 0.20579, 0.90719]}, ""engine"": {""acc_mean"": [0.01641, 0.19915, 0.95717], ""count"": 151, ""gyro_mean"": [1.59546, 8.12348, 3.52568], ""gyro_rms"": [2.04651, 8.28598, 3.56683], ""acc_rms"": [0.0166, 0.19919, 0.95719]}, ""push_forward"": {""acc_mean"": [0.00314, 0.16215, 0.9631], ""count"": 184, ""gyro_mean"": [-0.20215, -5.48781, 25.53952], ""gyro_rms"": [7.9612, 35.98028, 28.5235], ""acc_rms"": [0.0334, 0.16607, 0.96322]}}, ""gyro_bias"": [2.46406, 11.87692, 3.15741]}",,3.98,,
16997,I,0.0057,0.1593,0.9640,1.10,-0.30,5.06,,,,,,,,880000
17017,I,0.0050,0.1597,0.9633,1.40,0.43,4.88,,,,,,,,900000
17037,I,0.0042,0.1600,0.9633,1.34,-0.55,4.57,,,,,,,,920000
17057,I,0.0039,0.1600,0.9630,1.83,-1.28,5.24,,,,,,,,940000
17077,I,0.0049,0.1599,0.9628,1.40,-1.46,5.67,,,,,,,,960000
17097,I,0.0057,0.1602,0.9640,1.22,-2.07,5.37,,,,,,,,980000
17117,I,0.0062,0.1605,0.9653,0.98,-2.13,5.55,,,,,,,,1000000
17137,I,0.0070,0.1610,0.9642,0.49,-1.95,5.61,,,,,,,,1020000
17157,I,0.0071,0.1604,0.9626,0.43,-3.11,5.18,,,,,,,,1040000
17177,I,0.0068,0.1594,0.9620,0.18,-3.35,5.55,,,,,,,,1060000
17197,I,0.0073,0.1595,0.9637,0.67,-3.11,5.73,,,,,,,,1080000
17217,I,0.0087,0.1597,0.9647,0.49,-4.02,5.37,,,,,,,,1100000
17237,I,0.0090,0.1591,0.9640,0.73,-3.66,5.67,,,,,,,,1120000
17257,I,0.0085,0.1593,0.9626,1.40,-2.80,5.18,,,,,,,,1140000
17277,I,0.0084,0.1604,0.9631,1.22,-2.68,5.55,,,,,,,,1160000
17297,I,0.0087,0.1609,0.9631,0.85,-3.41,6.16,,,,,,,,1180000
17317,I,0.0098,0.1606,0.9634,1.16,-3.66,6.04,,,,,,,,1200000
17337,I,0.0110,0.1598,0.9634,1.16,-2.93,5.98,,,,,,,,1220000
17357,I,0.0125,0.1595,0.9635,1.16,-1.83,6.04,,,,,,,,1240000
17377,I,0.0127,0.1598,0.9640,1.10,-1.65,5.30,,,,,,,,1260000
17397,I,0.0127,0.1600,0.9637,1.46,-1.89,5.12,,,,,,,,1280000
17417,I,0.0144,0.1602,0.9637,1.16,-1.34,5.18,,,,,,,,1300000
17437,I,0.0150,0.1600,0.9633,1.46,-0.98,5.30,,,,,,,,1320000
17457,I,0.0159,0.1604,0.9637,1.34,-0.85,5.18,,,,,,,,1340000
17477,I,0.0155,0.1604,0.9629,0.85,0.55,4.63,,,,,,,,1360000
17497,I,0.0156,0.1611,0.9624,0.73,1.89,4.70,,,,,,,,1380000
17517,I,0.0160,0.1615,0.9629,0.91,2.38,5.00,,,,,,,,1400000
17537,I,0.0171,0.1608,0.9636,1.34,2.68,4.39,,,,,,,,1420000
17557,I,0.0182,0.1615,0.9637,1.65,3.54,3.96,,,,,,,,1440000
17577,I,0.0181,0.1624,0.9629,1.34,4.94,3.90,,,,,,,,1460000
17597,I,0.0182,0.1621,0.9623,1.52,6.16,3.60,,,,,,,,1480000
17617,I,0.0184,0.1616,0.9617,0.67,8.17,3.41,,,,,,,,1500000
17637,I,0.0187,0.1619,0.9618,-0.43,8.78,3.66,,,,,,,,1520000
17657,I,0.0186,0.1619,0.9620,-0.18,10.30,3.90,,,,,,,,1540000
17677,I,0.0179,0.1616,0.9625,0.06,11.28,3.66,,,,,,,,1560000
17697,I,0.0177,0.1605,0.9633,0.73,12.13,3.66,,,,,,,,1580000
17717,I,0.0172,0.1602,0.9636,0.43,12.87,3.35,,,,,,,,1600000
17737,I,0.0168,0.1602,0.9644,0.43,13.84,2.74,,,,,,,,1620000
17757,I,0.0156,0.1597,0.9642,0.43,15.18,2.56,,,,,,,,1640000
17777,I,0.0148,0.1593,0.9631,1.10,16.77,2.56,,,,,,,,1660000
17797,I,0.0135,0.1588,0.9629,1.10,16.59,2.68,,,,,,,,1680000
17817,I,0.0135,0.1587,0.9630,0.67,16.52,2.62,,,,,,,,1700000
17837,I,0.0138,0.1583,0.9641,0.37,17.13,2.26,,,,,,,,1720000
17857,I,0.0129,0.1575,0.9639,0.49,17.62,2.07,,,,,,,,1740000
17877,I,0.0123,0.1580,0.9635,0.24,18.05,1.89,,,,,,,,1760000
17897,I,0.0116,0.1587,0.9644,0.18,18.48,2.01,,,,,,,,1780000
17917,I,0.0101,0.1609,0.9642,0.49,18.78,2.20,,,,,,,,1800000
17937,I,0.0095,0.1620,0.9646,0.06,18.72,2.32,,,,,,,,1820000
17957,I,0.0095,0.1619,0.9640,0.24,18.90,1.71,,,,,,,,1840000
17977,I,0.0089,0.1608,0.9639,0.49,19.15,1.59,,,,,,,,1860000
17997,I,0.0083,0.1609,0.9633,-0.30,19.27,1.89,,,,,,,,1880000
18017,I,0.0096,0.1619,0.9628,-0.98,19.02,1.95,,,,,,,,1900000
18037,I,0.0110,0.1610,0.9625,-0.91,19.02,1.59,,,,,,,,1920000
18057,I,0.0114,0.1580,0.9636,0.12,19.15,1.22,,,,,,,,1940000
18077,I,0.0096,0.1564,0.9662,1.04,20.00,1.04,,,,,,,,1960000
18097,I,0.0070,0.1569,0.9670,1.04,21.04,1.34,,,,,,,,1980000
18117,I,0.0043,0.1575,0.9642,0.79,21.10,1.52,,,,,,,,2000000
18137,I,0.0023,0.1587,0.9611,1.04,20.67,1.40,,,,,,,,2020000
18157,I,0.0026,0.1617,0.9612,1.10,18.84,1.28,,,,,,,,2040000
18177,I,0.0021,0.1636,0.9622,0.73,17.26,1.28,,,,,,,,2060000
18197,I,0.0013,0.1647,0.9622,0.79,15.91,1.16,,,,,,,,2080000
18217,I,0.0017,0.1649,0.9611,0.49,15.49,1.10,,,,,,,,2100000
18237,I,0.0011,0.1631,0.9613,0.49,15.61,1.52,,,,,,,,2120000
18257,I,0.0012,0.1602,0.9629,0.06,14.82,2.50,,,,,,,,2140000
18277,I,0.0028,0.1591,0.9645,-0.06,13.41,3.11,,,,,,,,2160000
18297,I,0.0051,0.1584,0.9658,0.18,12.80,3.72,,,,,,,,2180000
18317,I,0.0052,0.1580,0.9652,0.49,12.68,4.39,,,,,,,,2200000
18337,I,0.0046,0.1577,0.9636,0.79,11.95,4.57,,,,,,,,2220000
18357,I,0.0042,0.1570,0.9625,0.61,11.89,4.21,,,,,,,,2240000
18377,I,0.0033,0.1563,0.9628,-0.55,11.28,3.72,,,,,,,,2260000
18397,I,0.0017,0.1571,0.9647,0.18,10.37,3.41,,,,,,,,2280000
18417,I,0.0013,0.1578,0.9669,1.77,9.88,3.90,,,,,,,,2300000
18437,I,0.0007,0.1581,0.9661,2.07,9.82,4.09,,,,,,,,2320000
18457,I,0.0004,0.1580,0.9642,1.95,6.71,4.09,,,,,,,,2340000
18477,I,0.0004,0.1576,0.9624,2.20,5.12,4.15,,,,,,,,2360000
18497,I,0.0005,0.1588,0.9622,2.68,5.91,4.27,,,,,,,,2380000
18517,I,0.0005,0.1604,0.9625,2.26,4.82,3.54,,,,,,,,2400000
18537,I,0.0007,0.1603,0.9626,1.89,4.70,2.62,,,,,,,,2420000
18557,I,0.0023,0.1599,0.9630,2.20,5.98,1.89,,,,,,,,2440000
18577,I,0.0038,0.1609,0.9628,0.98,6.46,2.01,,,,,,,,2460000
18597,I,0.0043,0.1626,0.9626,0.49,5.30,2.13,,,,,,,,2480000
18617,I,0.0060,0.1637,0.9634,0.12,3.84,2.32,,,,,,,,2500000
18637,I,0.0059,0.1642,0.9636,0.00,4.94,2.93,,,,,,,,2520000
18657,I,0.0061,0.1633,0.9633,0.49,5.18,3.72,,,,,,,,2540000
18677,I,0.0070,0.1626,0.9628,0.67,5.30,4.15,,,,,,,,2560000
18697,I,0.0074,0.1627,0.9626,1.04,5.24,4.33,,,,,,,,2580000
18717,I,0.0073,0.1615,0.9625,1.22,6.04,4.33,,,,,,,,2600000
18737,I,0.0085,0.1597,0.9612,0.00,5.49,4.57,,,,,,,,2620000
18757,I,0.0099,0.1595,0.9633,-3.66,4.57,5.43,,,,,,,,2640000
18777,I,0.0096,0.1602,0.9623,-9.09,3.48,5.61,,,,,,,,2660000
18797,I,0.0092,0.1603,0.9611,-26.34,3.66,5.12,,,,,,,,2680000
18817,I,0.0090,0.1592,0.9625,-43.05,3.05,10.43,,,,,,,,2700000
18837,I,0.0078,0.1572,0.9647,-44.33,3.05,7.62,,,,,,,,2720000
18857,I,0.0068,0.1561,0.9645,-39.02,2.68,6.95,,,,,,,,2740000
18877,I,0.0065,0.1549,0.9650,-37.01,3.96,11.59,,,,,,,,2760000
18897,I,0.0065,0.1543,0.9645,-33.35,5.18,8.90,,,,,,,,2780000
18917,I,0.0060,0.1548,0.9641,-40.43,1.22,-11.65,,,,,,,,2800000
18937,I,0.0056,0.1543,0.9672,-42.62,3.72,-9.51,,,,,,,,2820000
18957,I,0.0059,0.1532,0.9675,-38.29,7.20,-2.26,,,,,,,,2840000
18977,I,0.0056,0.1515,0.9664,-29.33,7.26,-1.52,,,,,,,,2860000
18997,I,0.0052,0.1505,0.9662,-13.05,3.84,2.68,,,,,,,,2880000
19017,I,0.0062,0.1515,0.9663,-0.24,6.34,5.30,,,,,,,,2900000
19037,I,0.0074,0.1527,0.9664,2.13,11.28,4.21,,,,,,,,2920000
19057,I,0.0081,0.1532,0.9694,5.43,14.82,2.74,,,,,,,,2940000
19077,I,0.0073,0.1520,0.9691,20.55,17.07,1.28,,,,,,,,2960000
19097,I,0.0054,0.1512,0.9689,51.77,16.65,2.68,,,,,,,,2980000
19117,I,0.0055,0.1545,0.9641,72.56,18.84,1.04,,,,,,,,3000000
19137,I,0.0068,0.1565,0.9623,77.93,20.00,-1.04,,,,,,,,3020000
19157,I,0.0072,0.1592,0.9552,59.94,19.82,-0.91,,,,,,,,3040000
