lat,long,speed,imu_brake,gps_brake,brake_delta,imu_accel,gps_accel,accel_delta
10.9016880,77.0517000,60.33,0.000,0.001,-0.001,0.028,0.000,0.028
10.9016940,77.0517300,60.25,0.000,0.000,0.000,0.034,0.002,0.032
10.9016990,77.0517600,59.95,0.000,0.000,0.000,0.071,0.004,0.066
10.9017040,77.0517900,59.92,0.000,0.000,0.000,0.049,0.010,0.040
10.9017090,77.0518200,59.67,0.000,0.000,0.000,0.058,0.015,0.043
10.9017120,77.0518500,59.79,0.000,0.000,0.000,0.089,0.020,0.069
10.9017160,77.0518800,60.11,0.000,0.000,0.000,0.078,0.026,0.052
10.9017240,77.0519400,60.53,0.001,0.000,0.001,0.000,0.035,-0.035
10.9017280,77.0519700,60.59,0.009,0.000,0.009,0.000,0.044,-0.044
10.9017310,77.0520000,60.60,0.000,0.000,0.000,0.046,0.053,-0.007
10.9017340,77.0520300,61.13,0.000,0.000,0.000,0.056,0.061,-0.005
10.9017380,77.0520600,61.21,0.000,0.000,0.000,0.048,0.065,-0.017
10.9017420,77.0520900,61.63,0.000,0.000,0.000,0.094,0.065,0.029
10.9017450,77.0521236,62.08,0.000,0.000,0.000,0.099,0.063,0.036
10.9017480,77.0521520,62.39,0.000,0.000,0.000,0.062,0.057,0.004
10.9017512,77.0521840,63.31,0.000,0.000,0.000,0.008,0.050,-0.042
10.9017530,77.0522200,63.74,0.000,0.000,0.000,0.028,0.040,-0.012
10.9017550,77.0522500,63.50,0.000,0.000,0.000,0.060,0.028,0.031
10.9017560,77.0522840,63.61,0.000,0.000,0.000,0.003,0.015,-0.012
10.9017570,77.0523120,63.85,0.000,0.001,-0.001,0.047,0.000,0.047
10.9017570,77.0523300,63.30,0.000,0.018,-0.018,0.077,0.000,0.077
10.9017570,77.0523440,63.39,0.000,0.034,-0.034,0.051,0.000,0.051
10.9017570,77.0523800,63.27,0.012,0.049,-0.036,0.000,0.000,0.000
10.9017570,77.0524000,62.92,0.000,0.063,-0.063,0.009,0.000,0.009
10.9017570,77.0524160,62.60,0.065,0.075,-0.010,0.000,0.000,0.000
10.9017570,77.0524300,62.21,0.090,0.085,0.006,0.000,0.000,0.000
10.9017570,77.0524480,61.87,0.081,0.093,-0.012,0.000,0.000,0.000
10.9017560,77.0524600,61.58,0.073,0.101,-0.028,0.000,0.000,0.000
10.9017560,77.0524900,60.53,0.054,0.106,-0.052,0.000,0.000,0.000
10.9017560,77.0525040,60.21,0.043,0.109,-0.066,0.000,0.000,0.000
10.9017560,77.0525200,59.81,0.020,0.110,-0.090,0.000,0.000,0.000
10.9017560,77.0525360,59.49,0.027,0.107,-0.081,0.000,0.000,0.000
10.9017560,77.0525500,58.77,0.041,0.101,-0.060,0.000,0.000,0.000
10.9017560,77.0525760,58.34,0.056,0.089,-0.033,0.000,0.000,0.000
10.9017560,77.0525900,57.96,0.000,0.074,-0.074,0.027,0.000,0.027
10.9017560,77.0526080,57.31,0.000,0.057,-0.057,0.106,0.000,0.106
10.9017560,77.0526200,57.08,0.000,0.036,-0.036,0.160,0.000,0.160
10.9017550,77.0526320,56.68,0.000,0.016,-0.016,0.242,0.000,0.242
10.9017540,77.0526640,56.85,0.000,0.000,0.000,0.305,0.002,0.303
10.9017540,77.0526800,56.71,0.000,0.000,0.000,0.250,0.020,0.230
10.9017540,77.0527000,56.93,0.000,0.000,0.000,0.213,0.035,0.178
10.9017520,77.0527200,58.05,0.000,0.000,0.000,0.204,0.048,0.156
10.9017520,77.0527320,58.07,0.000,0.000,0.000,0.184,0.060,0.124
10.9017500,77.0527680,58.96,0.000,0.000,0.000,0.152,0.069,0.083
10.9017490,77.0527800,59.04,0.000,0.000,0.000,0.159,0.076,0.084
10.9017470,77.0527920,59.33,0.000,0.000,0.000,0.162,0.081,0.081
10.9017460,77.0528100,59.70,0.000,0.000,0.000,0.181,0.084,0.098
10.9017430,77.0528400,59.69,0.000,0.000,0.000,0.180,0.084,0.096
10.9017410,77.0528600,59.62,0.000,0.000,0.000,0.208,0.084,0.125
10.9017400,77.0528700,60.13,0.000,0.000,0.000,0.189,0.081,0.108
10.9017370,77.0529000,61.63,0.000,0.000,0.000,0.158,0.077,0.081
10.9017350,77.0529320,62.21,0.000,0.000,0.000,0.114,0.069,0.045
10.9017340,77.0529400,62.21,0.000,0.000,0.000,0.080,0.058,0.023
10.9017320,77.0529520,62.51,0.019,0.000,0.019,0.000,0.043,-0.043
